ID,Latitude,Longitude,ECaD,Elevation
75,41.1664730852,-96.4694069531,16.22,301.01
76,41.1666080728,-96.4694017563,16.24,301.02
77,41.1667430604,-96.4693965595,16.26,301.03
78,41.166878048,-96.4693913627,16.28,301.03999999999996
79,41.1670130356,-96.4693861658,16.3,301.04999999999995
80,41.1671480232,-96.4693809689,16.32,301.06
81,41.1672830108,-96.4693757719,16.34,301.07
82,41.1674179984,-96.4693705749,16.36,301.08
83,41.167552986,-96.4693653779,16.38,301.09
84,41.1676879736,-96.4693601808,16.4,301.09999999999997
85,41.1649842942,-96.4692854877,18.0,301.2
86,41.1651192818,-96.4692802909,18.02,301.21
87,41.1652542695,-96.4692750941,18.04,301.21999999999997
88,41.1653892571,-96.4692698973,18.06,301.22999999999996
89,41.1655242447,-96.4692647004,18.08,301.24
90,41.1656592323,-96.4692595035,18.1,301.25
91,41.16579422,-96.4692543066,18.12,301.26
92,41.1659292076,-96.4692491096,18.14,301.27
93,41.1660641952,-96.4692439126,18.16,301.28
94,41.1661991828,-96.4692387156,18.18,301.28999999999996
95,41.1663341704,-96.4692335185,18.2,301.3
96,41.166469158,-96.4692283214,18.22,301.31
97,41.1666041456,-96.4692231242,18.24,301.32
98,41.1667391332,-96.4692179271,18.26,301.33
99,41.1668741208,-96.4692127298,18.28,301.34
100,41.1670091083,-96.4692075326,18.3,301.34999999999997
101,41.1671440959,-96.4692023353,18.32,301.36
102,41.1672790835,-96.469197138,18.34,301.37
103,41.1674140711,-96.4691919406,18.36,301.38
104,41.1675490586,-96.4691867432,18.38,301.39
105,41.1676840462,-96.4691815458,18.4,301.4
106,41.1649803669,-96.46910686,20.0,301.5
107,41.1651153545,-96.4691016629,20.02,301.51
108,41.1652503422,-96.4690964657,20.04,301.52
109,41.1653853298,-96.4690912685,20.06,301.53
110,41.1655203174,-96.4690860713,20.08,301.54
111,41.165655305,-96.469080874,20.1,301.55
112,41.1657902926,-96.4690756767,20.12,301.56
113,41.1659252802,-96.4690704794,20.14,301.57
114,41.1660602678,-96.469065282,20.16,301.58
115,41.1661952553,-96.4690600846,20.18,301.59
116,41.1663302429,-96.4690548872,20.2,301.6
117,41.1664652305,-96.4690496897,20.22,301.61
118,41.1666002181,-96.4690444922,20.24,301.62
119,41.1667352057,-96.4690392946,20.26,301.63
120,41.1668701932,-96.4690340971,20.28,301.64
121,41.1670051808,-96.4690288994,20.3,301.65
122,41.1671401684,-96.4690237018,20.32,301.66
123,41.1672751559,-96.4690185041,20.34,301.67
124,41.1674101435,-96.4690133064,20.36,301.68
125,41.167545131,-96.4690081086,20.38,301.69
126,41.1676801186,-96.4690029108,20.4,301.7
127,41.1649764394,-96.4689282324,22.0,301.8
128,41.165111427,-96.4689230349,22.02,301.81
129,41.1652464146,-96.4689178374,22.04,301.82
130,41.1653814022,-96.4689126398,22.06,301.83
131,41.1655163897,-96.4689074422,22.08,301.84000000000003
132,41.1656513773,-96.4689022446,22.1,301.85
133,41.1657863649,-96.4688970469,22.12,301.86
134,41.1659213525,-96.4688918492,22.14,301.87
135,41.1660563401,-96.4688866515,22.16,301.88
136,41.1661913276,-96.4688814537,22.18,301.89
137,41.1663263152,-96.4688762559,22.2,301.90000000000003
138,41.1664613028,-96.468871058,22.22,301.91
139,41.1665962903,-96.4688658602,22.24,301.92
140,41.1667312779,-96.4688606623,22.26,301.93
141,41.1668662654,-96.4688554643,22.28,301.94
142,41.167001253,-96.4688502663,22.3,301.95
143,41.1671362405,-96.4688450683,22.32,301.96000000000004
144,41.167271228,-96.4688398702,22.34,301.97
145,41.1674062156,-96.4688346722,22.36,301.98
146,41.1675412031,-96.468829474,22.38,301.99
147,41.1676761906,-96.4688242759,22.4,302.0
148,41.1649725115,-96.4687496048,24.0,302.1
149,41.1651074991,-96.4687444069,24.02,302.11
150,41.1652424867,-96.468739209,24.04,302.12
151,41.1653774743,-96.4687340111,24.06,302.13
152,41.1655124618,-96.4687288132,24.08,302.14000000000004
153,41.1656474494,-96.4687236152,24.1,302.15000000000003
154,41.165782437,-96.4687184171,24.12,302.16
155,41.1659174245,-96.4687132191,24.14,302.17
156,41.1660524121,-96.468708021,24.16,302.18
157,41.1661873996,-96.4687028228,24.18,302.19
158,41.1663223872,-96.4686976246,24.2,302.20000000000005
159,41.1664573747,-96.4686924264,24.22,302.21000000000004
160,41.1665923623,-96.4686872282,24.24,302.22
161,41.1667273498,-96.4686820299,24.26,302.23
162,41.1668623373,-96.4686768316,24.28,302.24
163,41.1669973249,-96.4686716332,24.3,302.25
164,41.1671323124,-96.4686664349,24.32,302.26000000000005
165,41.1672672999,-96.4686612364,24.34,302.27000000000004
166,41.1674022874,-96.468656038,24.36,302.28000000000003
167,41.1675372749,-96.4686508395,24.38,302.29
168,41.1676722624,-96.468645641,24.4,302.3
169,41.1649685834,-96.4685709772,26.0,302.4
170,41.165103571,-96.468565779,26.02,302.40999999999997
171,41.1652385586,-96.4685605807,26.04,302.41999999999996
172,41.1653735461,-96.4685553825,26.06,302.42999999999995
173,41.1655085337,-96.4685501841,26.08,302.44
174,41.1656435212,-96.4685449858,26.1,302.45
175,41.1657785087,-96.4685397874,26.12,302.46
176,41.1659134963,-96.4685345889,26.14,302.46999999999997
177,41.1660484838,-96.4685293905,26.16,302.47999999999996
178,41.1661834714,-96.468524192,26.18,302.48999999999995
179,41.1663184589,-96.4685189934,26.2,302.5
180,41.1664534464,-96.4685137948,26.22,302.51
181,41.1665884339,-96.4685085962,26.24,302.52
182,41.1667234214,-96.4685033976,26.26,302.53
183,41.166858409,-96.4684981989,26.28,302.53999999999996
184,41.1669933965,-96.4684930002,26.3,302.54999999999995
185,41.167128384,-96.4684878014,26.32,302.56
186,41.1672633715,-96.4684826027,26.34,302.57
187,41.167398359,-96.4684774038,26.36,302.58
188,41.1675333465,-96.468472205,26.38,302.59
189,41.167668334,-96.4684670061,26.4,302.59999999999997
190,41.1649646551,-96.4683923497,28.0,302.7
191,41.1650996426,-96.4683871511,28.02,302.71
192,41.1652346301,-96.4683819525,28.04,302.71999999999997
193,41.1653696177,-96.4683767538,28.06,302.72999999999996
194,41.1655046052,-96.4683715551,28.08,302.74
195,41.1656395927,-96.4683663564,28.1,302.75
196,41.1657745803,-96.4683611576,28.12,302.76
197,41.1659095678,-96.4683559588,28.14,302.77
198,41.1660445553,-96.46835076,28.16,302.78
199,41.1661795428,-96.4683455611,28.18,302.78999999999996
200,41.1663145303,-96.4683403622,28.2,302.8
201,41.1664495178,-96.4683351633,28.22,302.81
202,41.1665845053,-96.4683299643,28.24,302.82
203,41.1667194928,-96.4683247653,28.26,302.83
204,41.1668544803,-96.4683195663,28.28,302.84
205,41.1669894678,-96.4683143672,28.3,302.84999999999997
206,41.1671244553,-96.4683091681,28.32,302.86
207,41.1672594428,-96.4683039689,28.34,302.87
208,41.1673944303,-96.4682987697,28.36,302.88
209,41.1675294177,-96.4682935705,28.38,302.89
210,41.1676644052,-96.4682883712,28.4,302.9
211,41.1649607264,-96.4682137222,30.0,303.0
212,41.1650957139,-96.4682085233,30.02,303.01
213,41.1652307014,-96.4682033243,30.04,303.02
214,41.165365689,-96.4681981252,30.06,303.03
215,41.1655006765,-96.4681929262,30.08,303.04
216,41.165635664,-96.4681877271,30.1,303.05
217,41.1657706515,-96.468182528,30.12,303.06
218,41.165905639,-96.4681773288,30.14,303.07
219,41.1660406265,-96.4681721296,30.16,303.08
220,41.166175614,-96.4681669304,30.18,303.09
221,41.1663106015,-96.4681617311,30.2,303.1
222,41.166445589,-96.4681565318,30.22,303.11
223,41.1665805764,-96.4681513324,30.24,303.12
224,41.1667155639,-96.4681461331,30.26,303.13
225,41.1668505514,-96.4681409336,30.28,303.14
226,41.1669855389,-96.4681357342,30.3,303.15
227,41.1671205263,-96.4681305347,30.32,303.16
228,41.1672555138,-96.4681253352,30.34,303.17
229,41.1673905013,-96.4681201356,30.36,303.18
230,41.1675254887,-96.4681149361,30.38,303.19
231,41.1676604762,-96.4681097364,30.4,303.2
232,41.1649567975,-96.4680350948,32.0,303.3
233,41.165091785,-96.4680298954,32.02,303.31
234,41.1652267725,-96.4680246961,32.04,303.32
235,41.16536176,-96.4680194967,32.06,303.33
236,41.1654967475,-96.4680142973,32.08,303.34000000000003
237,41.1656317349,-96.4680090978,32.1,303.35
238,41.1657667224,-96.4680038983,32.12,303.36
239,41.1659017099,-96.4679986988,32.14,303.37
240,41.1660366974,-96.4679934992,32.16,303.38
241,41.1661716849,-96.4679882996,32.18,303.39
242,41.1663066723,-96.4679831,32.2,303.40000000000003
243,41.1664416598,-96.4679779003,32.22,303.41
244,41.1665766473,-96.4679727006,32.24,303.42
245,41.1667116347,-96.4679675009,32.26,303.43
246,41.1668466222,-96.4679623011,32.28,303.44
247,41.1669816096,-96.4679571013,32.3,303.45
248,41.1671165971,-96.4679519014,32.32,303.46000000000004
249,41.1672515845,-96.4679467015,32.34,303.47
250,41.167386572,-96.4679415016,32.36,303.48
251,41.1675215594,-96.4679363016,32.38,303.49
252,41.1676565469,-96.4679311017,32.4,303.5
253,41.1649528682,-96.4678564673,34.0,303.6
254,41.1650878557,-96.4678512677,34.02,303.61
255,41.1652228432,-96.4678460679,34.04,303.62
256,41.1653578307,-96.4678408682,34.06,303.63
257,41.1654928182,-96.4678356684,34.08,303.64000000000004
258,41.1656278056,-96.4678304686,34.1,303.65000000000003
259,41.1657627931,-96.4678252687,34.12,303.66
260,41.1658977806,-96.4678200688,34.14,303.67
261,41.166032768,-96.4678148689,34.16,303.68
262,41.1661677555,-96.4678096689,34.18,303.69
263,41.1663027429,-96.4678044689,34.2,303.70000000000005
264,41.1664377304,-96.4677992689,34.22,303.71000000000004
265,41.1665727178,-96.4677940688,34.24,303.72
266,41.1667077053,-96.4677888687,34.26,303.73
267,41.1668426927,-96.4677836685,34.28,303.74
268,41.1669776802,-96.4677784684,34.3,303.75
269,41.1671126676,-96.4677732681,34.32,303.76000000000005
270,41.167247655,-96.4677680679,34.34,303.77000000000004
271,41.1673826424,-96.4677628676,34.36,303.78000000000003
272,41.1675176299,-96.4677576673,34.38,303.79
273,41.1676526173,-96.4677524669,34.4,303.8
274,41.1649489387,-96.46767784,36.0,303.9
275,41.1650839262,-96.4676726399,36.02,303.90999999999997
276,41.1652189137,-96.4676674398,36.04,303.91999999999996
277,41.1653539011,-96.4676622397,36.06,303.92999999999995
278,41.1654888886,-96.4676570395,36.08,303.94
279,41.1656238761,-96.4676518393,36.1,303.95
280,41.1657588635,-96.4676466391,36.12,303.96
281,41.165893851,-96.4676414389,36.14,303.96999999999997
282,41.1660288384,-96.4676362386,36.16,303.97999999999996
283,41.1661638258,-96.4676310382,36.18,303.98999999999995
284,41.1662988133,-96.4676258379,36.2,304.0
285,41.1664338007,-96.4676206375,36.22,304.01
286,41.1665687881,-96.467615437,36.24,304.02
287,41.1667037755,-96.4676102365,36.26,304.03
288,41.166838763,-96.467605036,36.28,304.03999999999996
289,41.1669737504,-96.4675998355,36.3,304.04999999999995
290,41.1671087378,-96.4675946349,36.32,304.06
291,41.1672437252,-96.4675894343,36.34,304.07
292,41.1673787126,-96.4675842336,36.36,304.08
293,41.1675137,-96.4675790329,36.38,304.09
294,41.1676486874,-96.4675738322,36.4,304.09999999999997
295,41.164945009,-96.4674992126,38.0,304.2
296,41.1650799964,-96.4674940122,38.02,304.21
297,41.1652149839,-96.4674888117,38.04,304.21999999999997
298,41.1653499713,-96.4674836113,38.06,304.22999999999996
299,41.1654849588,-96.4674784107,38.08,304.24
300,41.1656199462,-96.4674732102,38.1,304.25
301,41.1657549336,-96.4674680096,38.12,304.26
302,41.1658899211,-96.4674628089,38.14,304.27
303,41.1660249085,-96.4674576083,38.16,304.28
304,41.1661598959,-96.4674524076,38.18,304.28999999999996
305,41.1662948833,-96.4674472069,38.2,304.3
306,41.1664298707,-96.4674420061,38.22,304.31
307,41.1665648581,-96.4674368053,38.24,304.32
308,41.1666998455,-96.4674316044,38.26,304.33
309,41.1668348329,-96.4674264036,38.28,304.34
310,41.1669698203,-96.4674212026,38.3,304.34999999999997
311,41.1671048077,-96.4674160017,38.32,304.36
312,41.1672397951,-96.4674108007,38.34,304.37
313,41.1673747825,-96.4674055997,38.36,304.38
314,41.1675097699,-96.4674003986,38.38,304.39
315,41.1676447573,-96.4673951976,38.4,304.4
316,41.1649410789,-96.4673205853,40.0,304.5
317,41.1650760664,-96.4673153845,40.02,304.51
318,41.1652110538,-96.4673101837,40.04,304.52
319,41.1653460412,-96.4673049828,40.06,304.53
320,41.1654810286,-96.467299782,40.08,304.54
321,41.1656160161,-96.467294581,40.1,304.55
322,41.1657510035,-96.4672893801,40.12,304.56
323,41.1658859909,-96.4672841791,40.14,304.57
324,41.1660209783,-96.467278978,40.16,304.58
325,41.1661559657,-96.467273777,40.18,304.59
326,41.1662909531,-96.4672685759,40.2,304.6
327,41.1664259405,-96.4672633747,40.22,304.61
328,41.1665609279,-96.4672581736,40.24,304.62
329,41.1666959153,-96.4672529724,40.26,304.63
330,41.1668309026,-96.4672477711,40.28,304.64
331,41.16696589,-96.4672425698,40.3,304.65
332,41.1671008774,-96.4672373685,40.32,304.66
333,41.1672358648,-96.4672321672,40.34,304.67
334,41.1673708521,-96.4672269658,40.36,304.68
335,41.1675058395,-96.4672217644,40.38,304.69
336,41.1676408269,-96.4672165629,40.4,304.7
337,41.1649371486,-96.467141958,42.0,304.8
338,41.165072136,-96.4671367569,42.02,304.81
339,41.1652071234,-96.4671315557,42.04,304.82
340,41.1653421108,-96.4671263545,42.06,304.83
341,41.1654770982,-96.4671211532,42.08,304.84000000000003
342,41.1656120856,-96.4671159519,42.1,304.85
343,41.165747073,-96.4671107506,42.12,304.86
344,41.1658820604,-96.4671055492,42.14,304.87
345,41.1660170478,-96.4671003478,42.16,304.88
346,41.1661520352,-96.4670951464,42.18,304.89
347,41.1662870226,-96.4670899449,42.2,304.90000000000003
348,41.16642201,-96.4670847434,42.22,304.91
349,41.1665569973,-96.4670795419,42.24,304.92
350,41.1666919847,-96.4670743403,42.26,304.93
351,41.1668269721,-96.4670691387,42.28,304.94
352,41.1669619594,-96.4670639371,42.3,304.95
353,41.1670969468,-96.4670587354,42.32,304.96000000000004
354,41.1672319341,-96.4670535337,42.34,304.97
355,41.1673669215,-96.4670483319,42.36,304.98
356,41.1675019088,-96.4670431302,42.38,304.99
357,41.1676368962,-96.4670379283,42.4,305.0
358,41.164933218,-96.4669633308,44.0,305.1
359,41.1650682054,-96.4669581293,44.02,305.11
360,41.1652031928,-96.4669529277,44.04,305.12
361,41.1653381802,-96.4669477261,44.06,305.13
362,41.1654731676,-96.4669425245,44.08,305.14000000000004
363,41.165608155,-96.4669373229,44.1,305.15000000000003
364,41.1657431423,-96.4669321212,44.12,305.16
365,41.1658781297,-96.4669269194,44.14,305.17
366,41.1660131171,-96.4669217177,44.16,305.18
367,41.1661481044,-96.4669165159,44.18,305.19
368,41.1662830918,-96.466911314,44.2,305.20000000000005
369,41.1664180792,-96.4669061122,44.22,305.21000000000004
370,41.1665530665,-96.4669009103,44.24,305.22
371,41.1666880539,-96.4668957083,44.26,305.23
372,41.1668230412,-96.4668905064,44.28,305.24
373,41.1669580285,-96.4668853043,44.3,305.25
374,41.1670930159,-96.4668801023,44.32,305.26000000000005
375,41.1672280032,-96.4668749002,44.34,305.27000000000004
376,41.1673629905,-96.4668696981,44.36,305.28000000000003
377,41.1674979779,-96.466864496,44.38,305.29
378,41.1676329652,-96.4668592938,44.4,305.3
379,41.1649292871,-96.4667847036,46.0,305.4
380,41.1650642745,-96.4667795017,46.02,305.40999999999997
381,41.1651992619,-96.4667742998,46.04,305.41999999999996
382,41.1653342493,-96.4667690978,46.06,305.42999999999995
383,41.1654692366,-96.4667638958,46.08,305.44
384,41.165604224,-96.4667586938,46.1,305.45
385,41.1657392113,-96.4667534918,46.12,305.46
386,41.1658741987,-96.4667482897,46.14,305.46999999999997
387,41.166009186,-96.4667430875,46.16,305.47999999999996
388,41.1661441734,-96.4667378854,46.18,305.48999999999995
389,41.1662791607,-96.4667326832,46.2,305.5
390,41.1664141481,-96.4667274809,46.22,305.51
391,41.1665491354,-96.4667222787,46.24,305.52
392,41.1666841227,-96.4667170764,46.26,305.53
393,41.1668191101,-96.466711874,46.28,305.53999999999996
394,41.1669540974,-96.4667066717,46.3,305.54999999999995
395,41.1670890847,-96.4667014692,46.32,305.56
396,41.167224072,-96.4666962668,46.34,305.57
397,41.1673590593,-96.4666910643,46.36,305.58
398,41.1674940466,-96.4666858618,46.38,305.59
399,41.167629034,-96.4666806592,46.4,305.59999999999997
400,41.164925356,-96.4666060764,48.0,305.7
401,41.1650603433,-96.4666008742,48.02,305.71
402,41.1651953307,-96.4665956719,48.04,305.71999999999997
403,41.1653303181,-96.4665904696,48.06,305.72999999999996
404,41.1654653054,-96.4665852672,48.08,305.74
405,41.1656002927,-96.4665800648,48.1,305.75
406,41.1657352801,-96.4665748624,48.12,305.76
407,41.1658702674,-96.4665696599,48.14,305.77
408,41.1660052547,-96.4665644574,48.16,305.78
409,41.1661402421,-96.4665592549,48.18,305.78999999999996
410,41.1662752294,-96.4665540523,48.2,305.8
411,41.1664102167,-96.4665488497,48.22,305.81
412,41.166545204,-96.4665436471,48.24,305.82
413,41.1666801913,-96.4665384444,48.26,305.83
414,41.1668151787,-96.4665332417,48.28,305.84
415,41.166950166,-96.466528039,48.3,305.84999999999997
416,41.1670851533,-96.4665228362,48.32,305.86
417,41.1672201406,-96.4665176334,48.34,305.87
418,41.1673551279,-96.4665124306,48.36,305.88
419,41.1674901151,-96.4665072277,48.38,305.89
420,41.1676251024,-96.4665020248,48.4,305.9
421,41.1649214246,-96.4664274493,50.0,306.0
422,41.1650564119,-96.4664222467,50.02,306.01
423,41.1651913992,-96.466417044,50.04,306.02
424,41.1653263866,-96.4664118413,50.06,306.03
425,41.1654613739,-96.4664066386,50.08,306.04
426,41.1655963612,-96.4664014359,50.1,306.05
427,41.1657313485,-96.4663962331,50.12,306.06
428,41.1658663359,-96.4663910302,50.14,306.07
429,41.1660013232,-96.4663858274,50.16,306.08
430,41.1661363105,-96.4663806245,50.18,306.09
431,41.1662712978,-96.4663754216,50.2,306.1
432,41.1664062851,-96.4663702186,50.22,306.11
433,41.1665412724,-96.4663650156,50.24,306.12
434,41.1666762597,-96.4663598126,50.26,306.13
435,41.166811247,-96.4663546095,50.28,306.14
436,41.1669462343,-96.4663494064,50.3,306.15
437,41.1670812215,-96.4663442032,50.32,306.16
438,41.1672162088,-96.4663390001,50.34,306.17
439,41.1673511961,-96.4663337968,50.36,306.18
440,41.1674861834,-96.4663285936,50.38,306.19
441,41.1676211706,-96.4663233903,50.4,306.2
